point_timestamp,point_value
2022-05-01,0.24119014793556132
2022-06-01,0.8630177496972792
2022-07-01,0.7944235398801456
2022-08-01,1.4255174646091109
2022-09-01,0.8470856389604352
2022-10-01,1.238731746823301
2022-11-01,1.3838241013232362
2022-12-01,2.983774419119081
2023-01-01,2.9533213152603297
2023-02-01,3.7165548937369155
2023-03-01,2.709235483750312
2023-04-01,4.3030957097263824
2023-05-01,4.190116613904971
2023-06-01,4.824699111848815
2023-07-01,4.166563869544502
2023-08-01,4.136415423442449
2023-09-01,4.663022500495395
2023-10-01,4.871345589226632
2023-11-01,4.635306437436643
2023-12-01,5.537939286527073
2024-01-01,5.62603891349334
2024-02-01,6.784115809801591
2024-03-01,7.038022065503748
2024-04-01,6.123652249607592
2024-05-01,6.523618696863219
2024-06-01,6.770681037421007
2024-07-01,6.196236991216508
2024-08-01,6.510323809814875
2024-09-01,6.409961617653442
2024-10-01,6.267977253034643
2024-11-01,6.027812716310619
2024-12-01,7.005801444026793
2025-01-01,6.244800294136322
2025-02-01,5.871191047134879
2025-03-01,5.878630126664831
2025-04-01,7.332015831880388
2025-05-01,6.396512061850169
2025-06-01,6.3832115655298
2025-07-01,5.648395444175337
2025-08-01,6.265979564464555
2025-09-01,5.973654861082538
2025-10-01,5.995141368415476
2025-11-01,6.0311288818280335
2025-12-01,5.452428374066164
2026-01-01,5.182098610441209
2026-02-01,4.176704622843106
2026-03-01,4.745753014149318
2026-04-01,5.067700069660229
2026-05-01,3.7258502076516633
2026-06-01,4.748119816042504
2026-07-01,5.109897170399463
2026-08-01,5.060219150426122
2026-09-01,3.8383414656582198
2026-10-01,4.445853305749362
2026-11-01,4.528582070804328
2026-12-01,3.4028926322163837
2027-01-01,2.866975406001073
2027-02-01,2.8005911101580896
2027-03-01,3.032322097580909
2027-04-01,2.486009260826614
2027-05-01,3.4045737457559806
2027-06-01,2.3594997781270393
2027-07-01,2.2487188002537457
2027-08-01,2.835988436288531
2027-09-01,3.1823942642934586
2027-10-01,1.6601937936616311
2027-11-01,2.527687833880111
2027-12-01,2.7211088781487405
2028-01-01,3.4638982378300787
2028-02-01,2.7448283948503973
2028-03-01,2.257025609785348
2028-04-01,2.0290353048088314
2028-05-01,2.4811315470170756
2028-06-01,3.7153747775257076
2028-07-01,2.4277897813538067
2028-08-01,1.7359293362489734
2028-09-01,2.8912216203073315
2028-10-01,3.0881940132101846
2028-11-01,3.1324718419803865
2028-12-01,2.691836940879603
2029-01-01,3.4216392470170236
2029-02-01,3.880157193600324
2029-03-01,4.259387758565156
2029-04-01,4.386590263055669
2029-05-01,4.097532045782951
2029-06-01,5.679375636770131
2029-07-01,6.027950887138768
2029-08-01,5.318335904890142
2029-09-01,5.990498467756957
2029-10-01,5.605291444467431
2029-11-01,6.698291003702938
2029-12-01,6.66178756271299
2030-01-01,5.845349153540993
2030-02-01,8.002821120531095
2030-03-01,7.911316719671816
2030-04-01,8.134285990567559
2030-05-01,8.43287778296198
2030-06-01,10.046974508536774
2030-07-01,10.235083891029207
2030-08-01,9.802513749812126
2030-09-01,9.60501417617003
2030-10-01,11.2955003553648
2030-11-01,11.630987201698455
2030-12-01,11.439363379937292
2031-01-01,11.217044905796081
2031-02-01,11.921328130530572
2031-03-01,11.833486096541941
2031-04-01,12.652204229000695
2031-05-01,13.030445488815548
2031-06-01,12.688906641047057
2031-07-01,13.726383906230904
2031-08-01,13.634889438229886
2031-09-01,14.007061986483718
2031-10-01,13.320416113174835
2031-11-01,13.947088575922352
2031-12-01,13.416549049366088
2032-01-01,14.615855998390536
2032-02-01,14.597742647010095
2032-03-01,14.580994566173855
2032-04-01,14.62263710230043
2032-05-01,14.660917942142545
2032-06-01,15.704473466063165
2032-07-01,15.067406708556312
2032-08-01,15.09575965879789
2032-09-01,15.312886934029802
2032-10-01,15.981498266446442
2032-11-01,14.831239686300574
2032-12-01,15.050274546362614
2033-01-01,15.85409113497524
2033-02-01,14.954452592772302
2033-03-01,15.485510113065642
2033-04-01,14.283079138091743
2033-05-01,15.074145769147519
2033-06-01,14.769024632295764
2033-07-01,14.066010269862069
2033-08-01,13.450041540440917
2033-09-01,14.43136237952319
2033-10-01,14.257384357254098
2033-11-01,14.309965527279399
2033-12-01,13.873707478424379
2034-01-01,13.810686264547984
2034-02-01,14.256751031518748
2034-03-01,13.567440026750518
2034-04-01,13.197625147731518
2034-05-01,13.63610440859038
