point_timestamp,point_value
2019-01-01,889
2019-01-02,864
2019-01-03,886
2019-01-04,924
2019-01-05,911
2019-01-06,899
2019-01-07,893
2019-01-08,892
2019-01-09,878
2019-01-10,886
2019-01-11,895
2019-01-12,908
2019-01-13,899
2019-01-14,886
2019-01-15,899
2019-01-16,883
2019-01-17,888
2019-01-18,884
2019-01-19,907
2019-01-20,906
2019-01-21,892
2019-01-22,890
2019-01-23,868
2019-01-24,909
2019-01-25,909
2019-01-26,902
2019-01-27,875
2019-01-28,883
2019-01-29,877
2019-01-30,867
2019-01-31,876
2019-02-01,907
2019-02-02,896
2019-02-03,891
2019-02-04,905
2019-02-05,872
2019-02-06,870
2019-02-07,867
2019-02-08,885
2019-02-09,898
2019-02-10,887
2019-02-11,878
2019-02-12,879
2019-02-13,876
2019-02-14,870
2019-02-15,881
2019-02-16,894
2019-02-17,896
2019-02-18,867
2019-02-19,869
2019-02-20,875
2019-02-21,888
2019-02-22,899
2019-02-23,904
2019-02-24,885
2019-02-25,882
2019-02-26,859
2019-02-27,881
2019-02-28,872
2019-03-01,890
2019-03-02,893
2019-03-03,893
2019-03-04,883
2019-03-05,863
2019-03-06,866
2019-03-07,873
2019-03-08,879
2019-03-09,882
2019-03-10,885
2019-03-11,887
2019-03-12,881
2019-03-13,877
2019-03-14,861
2019-03-15,888
2019-03-16,909
2019-03-17,894
2019-03-18,872
2019-03-19,867
2019-03-20,865
2019-03-21,876
2019-03-22,869
2019-03-23,879
2019-03-24,867
2019-03-25,887
2019-03-26,865
2019-03-27,840
2019-03-28,865
2019-03-29,867
2019-03-30,885
2019-03-31,876
2019-04-01,863
2019-04-02,867
2019-04-03,873
2019-04-04,892
2019-04-05,870
2019-04-06,887
2019-04-07,895
2019-04-08,857
2019-04-09,853
2019-04-10,843
2019-04-11,866
2019-04-12,885
2019-04-13,899
2019-04-14,881
2019-04-15,891
2019-04-16,883
2019-04-17,866
2019-04-18,868
2019-04-19,909
2019-04-20,884
2019-04-21,902
2019-04-22,871
2019-04-23,842
2019-04-24,860
2019-04-25,862
2019-04-26,885
2019-04-27,895
2019-04-28,890
2019-04-29,877
2019-04-30,870
2019-05-01,872
2019-05-02,876
2019-05-03,898
2019-05-04,902
2019-05-05,879
2019-05-06,896
2019-05-07,846
2019-05-08,862
2019-05-09,867
2019-05-10,875
2019-05-11,892
2019-05-12,905
2019-05-13,892
2019-05-14,871
2019-05-15,866
2019-05-16,871
2019-05-17,866
2019-05-18,908
2019-05-19,892
2019-05-20,878
2019-05-21,866
2019-05-22,876
2019-05-23,867
2019-05-24,895
2019-05-25,887
2019-05-26,895
2019-05-27,894
2019-05-28,878
2019-05-29,879
2019-05-30,880
2019-05-31,888
2019-06-01,914
2019-06-02,892
2019-06-03,903
2019-06-04,883
2019-06-05,867
2019-06-06,887
2019-06-07,915
2019-06-08,900
2019-06-09,899
2019-06-10,891
2019-06-11,867
2019-06-12,868
2019-06-13,881
2019-06-14,887
2019-06-15,898
2019-06-16,909
2019-06-17,876
2019-06-18,880
2019-06-19,892
2019-06-20,894
2019-06-21,899
2019-06-22,908
2019-06-23,897
2019-06-24,904
2019-06-25,889
2019-06-26,883
2019-06-27,899
2019-06-28,904
2019-06-29,908
2019-06-30,907
2019-07-01,905
2019-07-02,885
2019-07-03,879
2019-07-04,911
2019-07-05,900
2019-07-06,930
2019-07-07,917
2019-07-08,891
2019-07-09,897
2019-07-10,891
2019-07-11,901
2019-07-12,880
2019-07-13,925
2019-07-14,934
2019-07-15,904
2019-07-16,919
2019-07-17,899
2019-07-18,913
2019-07-19,916
2019-07-20,905
2019-07-21,924
2019-07-22,904
2019-07-23,901
2019-07-24,914
2019-07-25,899
2019-07-26,902
2019-07-27,909
2019-07-28,912
2019-07-29,925
2019-07-30,909
2019-07-31,920
2019-08-01,894
2019-08-02,913
2019-08-03,933
2019-08-04,928
2019-08-05,906
2019-08-06,908
2019-08-07,900
2019-08-08,897
2019-08-09,895
2019-08-10,907
2019-08-11,922
2019-08-12,914
2019-08-13,929
2019-08-14,897
2019-08-15,915
2019-08-16,928
2019-08-17,935
2019-08-18,904
2019-08-19,926
2019-08-20,900
2019-08-21,904
2019-08-22,908
2019-08-23,905
2019-08-24,952
2019-08-25,930
2019-08-26,908
2019-08-27,934
2019-08-28,915
2019-08-29,917
2019-08-30,927
2019-08-31,948
2019-09-01,931
2019-09-02,924
2019-09-03,906
2019-09-04,919
2019-09-05,924
2019-09-06,925
2019-09-07,935
2019-09-08,930
2019-09-09,921
2019-09-10,913
2019-09-11,917
2019-09-12,917
2019-09-13,930
2019-09-14,921
2019-09-15,948
2019-09-16,919
2019-09-17,896
2019-09-18,918
2019-09-19,926
2019-09-20,924
2019-09-21,935
2019-09-22,935
2019-09-23,939
2019-09-24,909
2019-09-25,915
2019-09-26,913
2019-09-27,929
2019-09-28,927
2019-09-29,939
2019-09-30,928
2019-10-01,895
2019-10-02,918
2019-10-03,925
2019-10-04,924
2019-10-05,941
2019-10-06,930
2019-10-07,925
2019-10-08,927
2019-10-09,911
2019-10-10,911
2019-10-11,944
2019-10-12,929
2019-10-13,912
2019-10-14,921
2019-10-15,922
2019-10-16,914
2019-10-17,906
2019-10-18,926
2019-10-19,939
2019-10-20,932
2019-10-21,936
2019-10-22,919
2019-10-23,910
2019-10-24,913
2019-10-25,913
2019-10-26,939
2019-10-27,920
2019-10-28,917
2019-10-29,916
2019-10-30,920
2019-10-31,910
2019-11-01,922
2019-11-02,931
2019-11-03,926
2019-11-04,915
2019-11-05,914
2019-11-06,910
2019-11-07,907
2019-11-08,926
2019-11-09,936
2019-11-10,936
2019-11-11,930
2019-11-12,894
2019-11-13,893
2019-11-14,922
2019-11-15,926
2019-11-16,922
2019-11-17,939
2019-11-18,912
2019-11-19,912
2019-11-20,925
2019-11-21,920
2019-11-22,931
2019-11-23,938
2019-11-24,935
2019-11-25,908
2019-11-26,920
2019-11-27,899
2019-11-28,928
2019-11-29,905
2019-11-30,924
2019-12-01,922
2019-12-02,906
2019-12-03,887
2019-12-04,892
2019-12-05,902
2019-12-06,917
2019-12-07,939
2019-12-08,934
2019-12-09,898
2019-12-10,911
2019-12-11,889
2019-12-12,916
2019-12-13,910
2019-12-14,899
2019-12-15,912
2019-12-16,893
2019-12-17,894
2019-12-18,892
2019-12-19,897
2019-12-20,927
2019-12-21,913
2019-12-22,930
2019-12-23,906
2019-12-24,879
2019-12-25,897
2019-12-26,881
2019-12-27,901
2019-12-28,926
2019-12-29,913
2019-12-30,899
2019-12-31,886
