point_timestamp,point_value
2019-01-01,712
2019-01-02,721
2019-01-03,719
2019-01-04,722
2019-01-05,681
2019-01-06,704
2019-01-07,688
2019-01-08,699
2019-01-09,726
2019-01-10,704
2019-01-11,694
2019-01-12,694
2019-01-13,702
2019-01-14,709
2019-01-15,696
2019-01-16,711
2019-01-17,696
2019-01-18,693
2019-01-19,686
2019-01-20,710
2019-01-21,696
2019-01-22,692
2019-01-23,708
2019-01-24,709
2019-01-25,708
2019-01-26,689
2019-01-27,688
2019-01-28,707
2019-01-29,691
2019-01-30,712
2019-01-31,703
2019-02-01,698
2019-02-02,694
2019-02-03,680
2019-02-04,696
2019-02-05,688
2019-02-06,711
2019-02-07,690
2019-02-08,702
2019-02-09,688
2019-02-10,676
2019-02-11,681
2019-02-12,687
2019-02-13,692
2019-02-14,697
2019-02-15,665
2019-02-16,672
2019-02-17,679
2019-02-18,702
2019-02-19,690
2019-02-20,692
2019-02-21,672
2019-02-22,681
2019-02-23,667
2019-02-24,686
2019-02-25,705
2019-02-26,694
2019-02-27,678
2019-02-28,691
2019-03-01,669
2019-03-02,670
2019-03-03,676
2019-03-04,692
2019-03-05,685
2019-03-06,691
2019-03-07,681
2019-03-08,680
2019-03-09,668
2019-03-10,682
2019-03-11,661
2019-03-12,672
2019-03-13,669
2019-03-14,669
2019-03-15,659
2019-03-16,670
2019-03-17,659
2019-03-18,670
2019-03-19,670
2019-03-20,668
2019-03-21,672
2019-03-22,651
2019-03-23,649
2019-03-24,644
2019-03-25,659
2019-03-26,670
2019-03-27,683
2019-03-28,658
2019-03-29,676
2019-03-30,654
2019-03-31,660
2019-04-01,662
2019-04-02,671
2019-04-03,685
2019-04-04,676
2019-04-05,645
2019-04-06,646
2019-04-07,655
2019-04-08,645
2019-04-09,665
2019-04-10,661
2019-04-11,647
2019-04-12,654
2019-04-13,655
2019-04-14,637
2019-04-15,667
2019-04-16,659
2019-04-17,656
2019-04-18,656
2019-04-19,620
2019-04-20,649
2019-04-21,644
2019-04-22,642
2019-04-23,655
2019-04-24,656
2019-04-25,637
2019-04-26,642
2019-04-27,620
2019-04-28,655
2019-04-29,641
2019-04-30,644
2019-05-01,634
2019-05-02,640
2019-05-03,635
2019-05-04,635
2019-05-05,617
2019-05-06,634
2019-05-07,650
2019-05-08,647
2019-05-09,641
2019-05-10,639
2019-05-11,624
2019-05-12,621
2019-05-13,628
2019-05-14,646
2019-05-15,648
2019-05-16,635
2019-05-17,619
2019-05-18,622
2019-05-19,634
2019-05-20,637
2019-05-21,625
2019-05-22,638
2019-05-23,630
2019-05-24,621
2019-05-25,594
2019-05-26,611
2019-05-27,640
2019-05-28,631
2019-05-29,634
2019-05-30,627
2019-05-31,626
2019-06-01,623
2019-06-02,624
2019-06-03,635
2019-06-04,633
2019-06-05,647
2019-06-06,640
2019-06-07,619
2019-06-08,602
2019-06-09,604
2019-06-10,611
2019-06-11,628
2019-06-12,614
2019-06-13,623
2019-06-14,628
2019-06-15,618
2019-06-16,611
2019-06-17,618
2019-06-18,613
2019-06-19,628
2019-06-20,623
2019-06-21,600
2019-06-22,612
2019-06-23,613
2019-06-24,614
2019-06-25,614
2019-06-26,620
2019-06-27,613
2019-06-28,600
2019-06-29,621
2019-06-30,625
2019-07-01,613
2019-07-02,626
2019-07-03,606
2019-07-04,610
2019-07-05,611
2019-07-06,598
2019-07-07,626
2019-07-08,620
2019-07-09,621
2019-07-10,603
2019-07-11,609
2019-07-12,608
2019-07-13,604
2019-07-14,598
2019-07-15,610
2019-07-16,617
2019-07-17,602
2019-07-18,621
2019-07-19,608
2019-07-20,604
2019-07-21,600
2019-07-22,613
2019-07-23,618
2019-07-24,609
2019-07-25,622
2019-07-26,598
2019-07-27,619
2019-07-28,602
2019-07-29,606
2019-07-30,599
2019-07-31,612
2019-08-01,635
2019-08-02,617
2019-08-03,603
2019-08-04,609
2019-08-05,620
2019-08-06,617
2019-08-07,630
2019-08-08,612
2019-08-09,601
2019-08-10,609
2019-08-11,608
2019-08-12,600
2019-08-13,625
2019-08-14,621
2019-08-15,632
2019-08-16,605
2019-08-17,608
2019-08-18,599
2019-08-19,622
2019-08-20,622
2019-08-21,624
2019-08-22,616
2019-08-23,606
2019-08-24,614
2019-08-25,610
2019-08-26,620
2019-08-27,625
2019-08-28,630
2019-08-29,623
2019-08-30,614
2019-08-31,599
2019-09-01,613
2019-09-02,635
2019-09-03,632
2019-09-04,622
2019-09-05,625
2019-09-06,628
2019-09-07,615
2019-09-08,619
2019-09-09,615
2019-09-10,639
2019-09-11,637
2019-09-12,619
2019-09-13,614
2019-09-14,608
2019-09-15,632
2019-09-16,610
2019-09-17,617
2019-09-18,621
2019-09-19,610
2019-09-20,602
2019-09-21,603
2019-09-22,619
2019-09-23,653
2019-09-24,624
2019-09-25,639
2019-09-26,636
2019-09-27,619
2019-09-28,618
2019-09-29,621
2019-09-30,631
2019-10-01,639
2019-10-02,619
2019-10-03,644
2019-10-04,650
2019-10-05,621
2019-10-06,630
2019-10-07,635
2019-10-08,632
2019-10-09,648
2019-10-10,642
2019-10-11,644
2019-10-12,628
2019-10-13,658
2019-10-14,634
2019-10-15,637
2019-10-16,642
2019-10-17,637
2019-10-18,633
2019-10-19,629
2019-10-20,628
2019-10-21,625
2019-10-22,643
2019-10-23,639
2019-10-24,637
2019-10-25,621
2019-10-26,632
2019-10-27,636
2019-10-28,631
2019-10-29,645
2019-10-30,642
2019-10-31,640
2019-11-01,629
2019-11-02,626
2019-11-03,621
2019-11-04,642
2019-11-05,631
2019-11-06,647
2019-11-07,652
2019-11-08,630
2019-11-09,647
2019-11-10,630
2019-11-11,638
2019-11-12,646
2019-11-13,652
2019-11-14,648
2019-11-15,648
2019-11-16,631
2019-11-17,656
2019-11-18,639
2019-11-19,628
2019-11-20,652
2019-11-21,648
2019-11-22,673
2019-11-23,631
2019-11-24,647
2019-11-25,648
2019-11-26,637
2019-11-27,647
2019-11-28,637
2019-11-29,649
2019-11-30,610
2019-12-01,628
2019-12-02,637
2019-12-03,636
2019-12-04,650
2019-12-05,642
2019-12-06,654
2019-12-07,625
2019-12-08,643
2019-12-09,639
2019-12-10,640
2019-12-11,653
2019-12-12,646
2019-12-13,657
2019-12-14,625
2019-12-15,643
2019-12-16,652
2019-12-17,660
2019-12-18,665
2019-12-19,643
2019-12-20,633
2019-12-21,644
2019-12-22,632
2019-12-23,626
2019-12-24,667
2019-12-25,645
2019-12-26,660
2019-12-27,635
2019-12-28,645
2019-12-29,632
2019-12-30,654
2019-12-31,657
